Country,Price,Year,countryISO
Türkiye,0.0727,2018,TUR
Ukraine,0.0342,2018,UKR
Belgium,0.1948,2019,BEL
Bulgaria,0.0831,2019,BGR
Czechia,0.1238,2019,CZE
Denmark,0.1084,2019,DNK
Germany,0.1473,2019,DEU
Estonia,0.0982,2019,EST
Ireland,0.2027,2019,IRL
Greece,0.1141,2019,GRC
Spain,0.1326,2019,ESP
France,0.1148,2019,FRA
Croatia,0.1028,2019,HRV
Italy,0.1432,2019,ITA
Cyprus,0.1545,2019,CYP
Latvia,0.1136,2019,LVA
Lithuania,0.0947,2019,LTU
Luxembourg,0.1326,2019,LUX
Hungary,0.0882,2019,HUN
Malta,0.1214,2019,MLT
Netherlands,0.1357,2019,NLD
Austria,0.1316,2019,AUT
Poland,0.0898,2019,POL
Portugal,0.1181,2019,PRT
Romania,0.0983,2019,ROU
Slovenia,0.1125,2019,SVN
Slovakia,0.0962,2019,SVK
Finland,0.1173,2019,FIN
Sweden,0.1297,2019,SWE
Iceland,0.1131,2019,ISL
Liechtenstein,0.171,2019,LIE
Norway,0.136,2019,NOR
United Kingdom,0.145,2019,GBR
Bosnia and Herzegovina,0.0729,2019,BIH
Montenegro,0.0834,2019,MNE
Moldova,0.0936,2019,MDA
North Macedonia,0.0664,2019,MKD
Georgia,0.0686,2019,GEO
Albania,0.0767,2019,ALB
Serbia,0.0541,2019,SRB
Türkiye,0.0684,2019,TUR
Ukraine,0.0369,2019,UKR
Belgium,0.1872,2020,BEL
Bulgaria,0.0831,2020,BGR
Czechia,0.1321,2020,CZE
Denmark,0.0951,2020,DNK
Germany,0.143,2020,DEU
Estonia,0.0882,2020,EST
Ireland,0.2037,2020,IRL
Greece,0.1285,2020,GRC
Spain,0.1178,2020,ESP
France,0.1242,2020,FRA
Croatia,0.1012,2020,HRV
Italy,0.1382,2020,ITA
Cyprus,0.1497,2020,CYP
Latvia,0.0996,2020,LVA
Lithuania,0.1111,2020,LTU
Luxembourg,0.1465,2020,LUX
Hungary,0.0812,2020,HUN
Malta,0.1208,2020,MLT
Netherlands,0.1379,2020,NLD
Austria,0.1358,2020,AUT
Poland,0.0926,2020,POL
Portugal,0.1139,2020,PRT
Romania,0.1045,2020,ROU
Slovenia,0.1063,2020,SVN
Slovakia,0.1074,2020,SVK
Finland,0.1178,2020,FIN
Sweden,0.12,2020,SWE
Iceland,0.1061,2020,ISL
Liechtenstein,0.1823,2020,LIE
Norway,0.0954,2020,NOR
United Kingdom,0.1532,2020,GBR
Bosnia and Herzegovina,0.0721,2020,BIH
Montenegro,0.0811,2020,MNE
Moldova,0.1068,2020,MDA
North Macedonia,0.0662,2020,MKD
Georgia,0.0562,2020,GEO
Albania,0.0768,2020,ALB
Serbia,0.0564,2020,SRB
Türkiye,0.0805,2020,TUR
Ukraine,0.0388,2020,UKR
Belgium,0.1767,2021,BEL
Bulgaria,0.0853,2021,BGR
Czechia,0.1284,2021,CZE
Denmark,0.104,2021,DNK
Germany,0.1562,2021,DEU
Estonia,0.098,2021,EST
Ireland,0.2069,2021,IRL
Greece,0.1305,2021,GRC
Spain,0.1358,2021,ESP
France,0.1289,2021,FRA
Croatia,0.1003,2021,HRV
Italy,0.1432,2021,ITA
Cyprus,0.1276,2021,CYP
Latvia,0.1024,2021,LVA
Lithuania,0.1003,2021,LTU
Luxembourg,0.1467,2021,LUX
Hungary,0.0795,2021,HUN
Malta,0.1209,2021,MLT
Netherlands,0.1351,2021,NLD
Austria,0.1394,2021,AUT
Poland,0.0921,2021,POL
Portugal,0.1131,2021,PRT
Romania,0.1115,2021,ROU
Slovenia,0.1153,2021,SVN
Slovakia,0.1057,2021,SVK
Finland,0.12,2021,FIN
Sweden,0.134,2021,SWE
Iceland,0.107,2021,ISL
Liechtenstein,0.1786,2021,LIE
Norway,0.1326,2021,NOR
Bosnia and Herzegovina,0.0721,2021,BIH
Montenegro,0.0807,2021,MNE
Moldova,0.0851,2021,MDA
North Macedonia,0.0713,2021,MKD
Georgia,0.0535,2021,GEO
Albania,0.0771,2021,ALB
Serbia,0.0575,2021,SRB
Türkiye,0.0672,2021,TUR
Ukraine,0.0404,2021,UKR
Belgium,0.2622,2022,BEL
Bulgaria,0.0911,2022,BGR
Czechia,0.1879,2022,CZE
Denmark,0.2371,2022,DNK
Germany,0.1899,2022,DEU
Estonia,0.159,2022,EST
Ireland,0.2693,2022,IRL
Greece,0.295,2022,GRC
Spain,0.2579,2022,ESP
France,0.1566,2022,FRA
Croatia,0.106,2022,HRV
Italy,0.2671,2022,ITA
Cyprus,0.1693,2022,CYP
Latvia,0.1779,2022,LVA
Lithuania,0.1205,2022,LTU
Luxembourg,0.1673,2022,LUX
Hungary,0.0746,2022,HUN
Malta,0.1221,2022,MLT
Netherlands,0.2187,2022,NLD
Austria,0.1579,2022,AUT
Poland,0.0912,2022,POL
Portugal,0.1688,2022,PRT
Romania,0.1779,2022,ROU
Slovenia,0.1023,2022,SVN
Slovakia,0.1242,2022,SVK
Finland,0.1335,2022,FIN
Sweden,0.1815,2022,SWE
Iceland,0.1205,2022,ISL
Liechtenstein,0.1898,2022,LIE
Norway,0.2005,2022,NOR
Bosnia and Herzegovina,0.0733,2022,BIH
Montenegro,0.0792,2022,MNE
Moldova,0.1047,2022,MDA
North Macedonia,0.0895,2022,MKD
Albania,0.0784,2022,ALB
Serbia,0.0589,2022,SRB
Türkiye,0.0748,2022,TUR
Belgium,0.3592,2023,BEL
Bulgaria,0.0948,2023,BGR
Czechia,0.2624,2023,CZE
Denmark,0.2976,2023,DNK
Germany,0.2973,2023,DEU
Estonia,0.1666,2023,EST
Ireland,0.4514,2023,IRL
Greece,0.1876,2023,GRC
Spain,0.2165,2023,ESP
France,0.1893,2023,FRA
Croatia,0.117,2023,HRV
Italy,0.323,2023,ITA
Cyprus,0.2312,2023,CYP
Latvia,0.2521,2023,LVA
Lithuania,0.2407,2023,LTU
Luxembourg,0.3012,2023,LUX
Hungary,0.0911,2023,HUN
Malta,0.1186,2023,MLT
Netherlands,0.4436,2023,NLD
Austria,0.2691,2023,AUT
Poland,0.0918,2023,POL
Portugal,0.2983,2023,PRT
Romania,0.1435,2023,ROU
Slovenia,0.1614,2023,SVN
Slovakia,0.1322,2023,SVK
Finland,0.1934,2023,FIN
Sweden,0.1784,2023,SWE
Iceland,0.1208,2023,ISL
Liechtenstein,0.3888,2023,LIE
Norway,0.1683,2023,NOR
Bosnia and Herzegovina,0.0742,2023,BIH
Montenegro,0.0845,2023,MNE
Moldova,0.1795,2023,MDA
North Macedonia,0.0957,2023,MKD
Georgia,0.0718,2023,GEO
Albania,0.0842,2023,ALB
Serbia,0.0686,2023,SRB
Türkiye,0.0759,2023,TUR
Belgium,0.2405,2024,BEL
Bulgaria,0.0989,2024,BGR
Czechia,0.2574,2024,CZE
Denmark,0.1883,2024,DNK
Germany,0.2806,2024,DEU
Estonia,0.1769,2024,EST
Ireland,0.3856,2024,IRL
Greece,0.1827,2024,GRC
Spain,0.1841,2024,ESP
France,0.2187,2024,FRA
Croatia,0.1167,2024,HRV
Italy,0.2451,2024,ITA
Cyprus,0.2106,2024,CYP
Latvia,0.2261,2024,LVA
Lithuania,0.1914,2024,LTU
Luxembourg,0.3024,2024,LUX
Hungary,0.0861,2024,HUN
Malta,0.1181,2024,MLT
Netherlands,0.2899,2024,NLD
Austria,0.2946,2024,AUT
Poland,0.1065,2024,POL
Portugal,0.1823,2024,PRT
Romania,0.1392,2024,ROU
Slovenia,0.1684,2024,SVN
Slovakia,0.125,2024,SVK
Finland,0.1763,2024,FIN
Sweden,0.1571,2024,SWE
Iceland,0.1345,2024,ISL
Liechtenstein,0.2811,2024,LIE
Norway,0.1579,2024,NOR
Bosnia and Herzegovina,0.0724,2024,BIH
Montenegro,0.0894,2024,MNE
Moldova,0.1359,2024,MDA
North Macedonia,0.0943,2024,MKD
Georgia,0.0602,2024,GEO
Albania,0.0929,2024,ALB
Serbia,0.0783,2024,SRB
Türkiye,0.0434,2024,TUR
Belgium,0.179,2017,BEL
Bulgaria,0.0819,2017,BGR
Czechia,0.1218,2017,CZE
Denmark,0.0922,2017,DNK
Germany,0.1383,2017,DEU
Estonia,0.095,2017,EST
Ireland,0.1865,2017,IRL
Greece,0.109,2017,GRC
Spain,0.1712,2017,ESP
France,0.1132,2017,FRA
Croatia,0.1012,2017,HRV
Italy,0.1326,2017,ITA
Cyprus,0.142,2017,CYP
Latvia,0.1039,2017,LVA
Lithuania,0.0777,2017,LTU
Luxembourg,0.117,2017,LUX
Hungary,0.0893,2017,HUN
Malta,0.1221,2017,MLT
Netherlands,0.1152,2017,NLD
Austria,0.1218,2017,AUT
Poland,0.095,2017,POL
Portugal,0.108,2017,PRT
Romania,0.0945,2017,ROU
Slovenia,0.1105,2017,SVN
Slovakia,0.0838,2017,SVK
Finland,0.1064,2017,FIN
Sweden,0.1305,2017,SWE
Iceland,0.12,2017,ISL
Liechtenstein,0.1367,2017,LIE
Norway,0.1137,2017,NOR
United Kingdom,0.1344,2017,GBR
Bosnia and Herzegovina,0.0724,2017,BIH
Montenegro,0.0806,2017,MNE
Moldova,0.1013,2017,MDA
North Macedonia,0.0687,2017,MKD
Albania,0.0713,2017,ALB
Serbia,0.0532,2017,SRB
Türkiye,0.0773,2017,TUR
Ukraine,0.0318,2017,UKR
Belgium,0.1976,2018,BEL
Bulgaria,0.0838,2018,BGR
Czechia,0.1299,2018,CZE
Denmark,0.1116,2018,DNK
Germany,0.1378,2018,DEU
Estonia,0.1048,2018,EST
Ireland,0.2006,2018,IRL
Greece,0.1125,2018,GRC
Spain,0.1947,2018,ESP
France,0.1168,2018,FRA
Croatia,0.1028,2018,HRV
Italy,0.1416,2018,ITA
Cyprus,0.1745,2018,CYP
Latvia,0.1041,2018,LVA
Lithuania,0.0771,2018,LTU
Luxembourg,0.1302,2018,LUX
Hungary,0.088,2018,HUN
Malta,0.123,2018,MLT
Netherlands,0.1212,2018,NLD
Austria,0.1265,2018,AUT
Poland,0.0889,2018,POL
Portugal,0.1028,2018,PRT
Romania,0.0964,2018,ROU
Slovenia,0.1125,2018,SVN
Slovakia,0.0849,2018,SVK
Finland,0.1144,2018,FIN
Sweden,0.132,2018,SWE
Iceland,0.1152,2018,ISL
Liechtenstein,0.169,2018,LIE
Norway,0.1382,2018,NOR
United Kingdom,0.1401,2018,GBR
Bosnia and Herzegovina,0.0729,2018,BIH
Montenegro,0.0829,2018,MNE
Moldova,0.096,2018,MDA
North Macedonia,0.0667,2018,MKD
Georgia,0.0628,2018,GEO
Albania,0.0759,2018,ALB
Serbia,0.0542,2018,SRB
Türkiye,0.0688,2018,TUR
Ukraine,0.0342,2018,UKR
Belgium,0.1954,2019,BEL
Bulgaria,0.0798,2019,BGR
Czechia,0.1255,2019,CZE
Denmark,0.1042,2019,DNK
Germany,0.1321,2019,DEU
Estonia,0.1027,2019,EST
Ireland,0.213,2019,IRL
Greece,0.1189,2019,GRC
Spain,0.1287,2019,ESP
France,0.126,2019,FRA
Croatia,0.103,2019,HRV
Italy,0.1427,2019,ITA
Cyprus,0.1576,2019,CYP
Latvia,0.1144,2019,LVA
Lithuania,0.0947,2019,LTU
Luxembourg,0.1325,2019,LUX
Hungary,0.0864,2019,HUN
Malta,0.1227,2019,MLT
Netherlands,0.1359,2019,NLD
Austria,0.1349,2019,AUT
Poland,0.0867,2019,POL
Portugal,0.1204,2019,PRT
Romania,0.1025,2019,ROU
Slovenia,0.1146,2019,SVN
Slovakia,0.0969,2019,SVK
Finland,0.1201,2019,FIN
Sweden,0.1316,2019,SWE
Iceland,0.1132,2019,ISL
Liechtenstein,0.1765,2019,LIE
Norway,0.1264,2019,NOR
United Kingdom,0.1512,2019,GBR
Bosnia and Herzegovina,0.0728,2019,BIH
Montenegro,0.0847,2019,MNE
Moldova,0.1019,2019,MDA
North Macedonia,0.0669,2019,MKD
Georgia,0.0524,2019,GEO
Albania,0.0778,2019,ALB
Serbia,0.0551,2019,SRB
Türkiye,0.0841,2019,TUR
Ukraine,0.0406,2019,UKR
Belgium,0.1798,2020,BEL
Bulgaria,0.0818,2020,BGR
Czechia,0.1283,2020,CZE
Denmark,0.0908,2020,DNK
Germany,0.1451,2020,DEU
Estonia,0.0953,2020,EST
Ireland,0.2179,2020,IRL
Greece,0.1278,2020,GRC
Spain,0.126,2020,ESP
France,0.1292,2020,FRA
Croatia,0.1017,2020,HRV
Italy,0.1331,2020,ITA
Cyprus,0.1184,2020,CYP
Latvia,0.1005,2020,LVA
Lithuania,0.0972,2020,LTU
Luxembourg,0.1465,2020,LUX
Hungary,0.0794,2020,HUN
Malta,0.1224,2020,MLT
Netherlands,0.1365,2020,NLD
Austria,0.1384,2020,AUT
Poland,0.0953,2020,POL
Portugal,0.1138,2020,PRT
Romania,0.104,2020,ROU
Slovenia,0.118,2020,SVN
Slovakia,0.1106,2020,SVK
Finland,0.1205,2020,FIN
Sweden,0.1271,2020,SWE
Iceland,0.0988,2020,ISL
Liechtenstein,0.1791,2020,LIE
Norway,0.0927,2020,NOR
Bosnia and Herzegovina,0.0746,2020,BIH
Montenegro,0.0821,2020,MNE
Moldova,0.0993,2020,MDA
North Macedonia,0.0706,2020,MKD
Georgia,0.0482,2020,GEO
Albania,0.0767,2020,ALB
Serbia,0.0563,2020,SRB
Türkiye,0.066,2020,TUR
Ukraine,0.033,2020,UKR
Belgium,0.2015,2021,BEL
Bulgaria,0.0909,2021,BGR
Czechia,0.1498,2021,CZE
Denmark,0.1485,2021,DNK
Germany,0.1596,2021,DEU
Estonia,0.1493,2021,EST
Ireland,0.242,2021,IRL
Greece,0.1588,2021,GRC
Spain,0.1878,2021,ESP
France,0.1356,2021,FRA
Croatia,0.1022,2021,HRV
Italy,0.176,2021,ITA
Cyprus,0.1451,2021,CYP
Latvia,0.1402,2021,LVA
Lithuania,0.1122,2021,LTU
Luxembourg,0.1468,2021,LUX
Hungary,0.079,2021,HUN
Malta,0.124,2021,MLT
Netherlands,0.1493,2021,NLD
Austria,0.1448,2021,AUT
Poland,0.0882,2021,POL
Portugal,0.1164,2021,PRT
Romania,0.1167,2021,ROU
Slovenia,0.1185,2021,SVN
Slovakia,0.102,2021,SVK
Finland,0.1259,2021,FIN
Sweden,0.1733,2021,SWE
Iceland,0.1095,2021,ISL
Liechtenstein,0.1829,2021,LIE
Norway,0.1752,2021,NOR
Bosnia and Herzegovina,0.0714,2021,BIH
Montenegro,0.0803,2021,MNE
Moldova,0.0888,2021,MDA
North Macedonia,0.08,2021,MKD
Georgia,0.0559,2021,GEO
Albania,0.0781,2021,ALB
Serbia,0.0591,2021,SRB
Türkiye,0.0637,2021,TUR
Belgium,0.3791,2022,BEL
Bulgaria,0.0956,2022,BGR
Czechia,0.2077,2022,CZE
Denmark,0.3636,2022,DNK
Germany,0.2333,2022,DEU
Estonia,0.2085,2022,EST
Ireland,0.3823,2022,IRL
Greece,0.4556,2022,GRC
Spain,0.2966,2022,ESP
France,0.1723,2022,FRA
Croatia,0.117,2022,HRV
Italy,0.3192,2022,ITA
Cyprus,0.2551,2022,CYP
Latvia,0.2448,2022,LVA
Lithuania,0.2007,2022,LTU
Luxembourg,0.1696,2022,LUX
Hungary,0.0853,2022,HUN
Malta,0.1208,2022,MLT
Netherlands,0.3197,2022,NLD
Austria,0.209,2022,AUT
Poland,0.1003,2022,POL
Portugal,0.1972,2022,PRT
Romania,0.2683,2022,ROU
Slovenia,0.1533,2022,SVN
Slovakia,0.1315,2022,SVK
Finland,0.1806,2022,FIN
Sweden,0.2489,2022,SWE
Iceland,0.122,2022,ISL
Liechtenstein,0.1999,2022,LIE
Norway,0.2751,2022,NOR
Bosnia and Herzegovina,0.0738,2022,BIH
Montenegro,0.0809,2022,MNE
Moldova,0.1976,2022,MDA
North Macedonia,0.0981,2022,MKD
Georgia,0.0716,2022,GEO
Albania,0.0813,2022,ALB
Serbia,0.0617,2022,SRB
Türkiye,0.0833,2022,TUR
Belgium,0.2793,2023,BEL
Bulgaria,0.0993,2023,BGR
Czechia,0.2582,2023,CZE
Denmark,0.1846,2023,DNK
Germany,0.2882,2023,DEU
Estonia,0.1826,2023,EST
Ireland,0.459,2023,IRL
Greece,0.1905,2023,GRC
Spain,0.2068,2023,ESP
France,0.2161,2023,FRA
Croatia,0.1171,2023,HRV
Italy,0.2565,2023,ITA
Cyprus,0.2099,2023,CYP
Latvia,0.2497,2023,LVA
Lithuania,0.1919,2023,LTU
Luxembourg,0.2875,2023,LUX
Hungary,0.0891,2023,HUN
Malta,0.1203,2023,MLT
Netherlands,0.2659,2023,NLD
Austria,0.299,2023,AUT
Poland,0.1164,2023,POL
Portugal,0.2012,2023,PRT
Romania,0.1441,2023,ROU
Slovenia,0.1614,2023,SVN
Slovakia,0.123,2023,SVK
Finland,0.1712,2023,FIN
Sweden,0.1407,2023,SWE
Iceland,0.1274,2023,ISL
Liechtenstein,0.3174,2023,LIE
Norway,0.1521,2023,NOR
Bosnia and Herzegovina,0.0717,2023,BIH
Montenegro,0.0846,2023,MNE
Moldova,0.1469,2023,MDA
North Macedonia,0.0982,2023,MKD
Georgia,0.0733,2023,GEO
Albania,0.0907,2023,ALB
Serbia,0.0755,2023,SRB
Türkiye,0.0501,2023,TUR
